variant,prime,log10_c,log10_binom,c_digits,binom_digits,ratio,log10_ratio
5,5,2.146128,2.100371,3,3,1.11111111111111116,0.045757490561
5,7,3.188084,3.234517,4,4,0.898601398601398649,-0.046432909798
5,11,4.892178,5.547425,5,6,0.221183615146463453,-0.655247047869
5,13,5.627950,6.716028,6,7,0.0816435590254408344,-1.088078071675
5,17,6.949994,9.066998,7,10,0.00763829126235359476,-2.117003785185
5,19,7.554105,10.247301,8,11,0.00202676885948153539,-2.693195777097
5,23,8.676477,12.614551,9,13,0.000115325705336538577,-3.938073880549
5,29,10.196055,16.177064,11,17,1.04469907034879519e-06,-5.981008791762
5,31,10.668134,17.366823,11,18,2.00129492495517837e-07,-6.698688905945
5,37,12.002521,20.941047,13,21,1.15205895660809169e-09,-8.938525295327
5,41,12.834657,23.327139,13,24,3.21749790680022877e-11,-10.492481726961
5,43,13.236016,24.520978,14,25,5.18845224423011095e-12,-11.284962176263
5,47,14.012579,26.910011,15,27,1.26639331163225903e-13,-12.897431391836
5,53,15.119868,30.496412,16,31,4.20199421118927369e-16,-15.376544550229
5,59,16.168066,34.085588,17,35,1.2091432162373099e-18,-17.917522256345
5,61,16.505899,35.282500,17,36,1.67262775126363041e-19,-18.776600701931
5,67,17.488471,38.874567,18,39,4.11058534858518624e-22,-21.386096330056
5,71,18.119996,41.270261,19,42,7.07514515069162354e-24,-23.150264645910
5,73,18.429294,42.468369,19,43,9.13954674595979648e-25,-24.039075341532
5,79,19.333347,46.063634,20,47,1.86085905581903905e-27,-26.730286519722
5,83,19.917655,48.461181,20,49,2.86070897847583237e-29,-28.543526320968
5,89,20.769086,52.058429,21,53,5.13636875596860313e-32,-31.289343804462
5,97,21.862110,56.856269,22,57,1.01354152116601824e-35,-34.994158455117
5,101,22.392190,59.255756,23,60,1.36909607665963844e-37,-36.863566074073
5,151,28.313044,89.271606,29,90,1.10011441678415917e-61,-60.958562143938
5,199,33.143807,118.110634,34,119,1.07937624272673871e-85,-84.966827145068
5,251,37.769181,149.367400,38,150,2.52221293663384924e-112,-111.598218251109
5,307,42.250536,183.039066,43,184,1.62730583656424624e-141,-140.788530817899
5,353,45.638538,210.703531,46,211,8.61007889154848114e-166,-165.064992869219
5,401,48.949768,239.574744,49,240,2.37150613796124793e-191,-190.624975746964
5,449,52.071264,268.449087,53,269,4.18963864609613562e-217,-216.377823433066
5,503,55.392551,300.935679,56,301,2.8633348958853605e-246,-245.543127853889
5,557,58.542472,333.424785,59,334,1.31125464636264187e-275,-274.882312959896
5,601,60.999334,359.898922,61,360,1.26011957959758276e-299,-298.899588240362
5,653,63.791227,391.188030,64,392,0,-327.396803104866
5,701,66.272540,420.071513,67,421,0,-353.798973004935
5,751,68.769637,450.159556,69,451,0,-381.389919241562
5,809,71.565571,485.062887,72,486,0,-413.497315600343
5,853,73.621155,511.542030,74,512,0,-437.920874744403
5,907,76.073607,544.039944,77,545,0,-467.966336473113
5,953,78.106387,571.723963,79,572,0,-493.617576531683
5,1009,80.516700,605.426927,81,606,0,-524.910227198364
5,1511,99.700596,907.573374,100,908,0,-807.872777348372
5,2003,115.607760,1203.725690,116,1204,0,-1088.117930300690
5,2503,129.885495,1504.707301,130,1505,0,-1374.821806158282
5,3001,142.755503,1804.493778,143,1805,0,-1661.738275433428
5,3511,154.876616,2111.510294,155,2112,0,-1956.633677469066
5,4001,165.722003,2406.491323,166,2407,0,-2240.769319095119
5,4507,176.248581,2711.107820,177,2712,0,-2534.859239138454
5,5003,186.010496,3009.706906,187,3010,0,-2823.696409608081
5,5503,195.375049,3310.716218,196,3311,0,-3115.341168273245
5,6007,204.395164,3614.135425,205,3615,0,-3409.740261001222
5,6521,213.214172,3923.576433,214,3924,0,-3710.362260940032
5,7001,221.142366,4212.549807,222,4213,0,-3991.407440855653
5,7507,229.212262,4517.177010,230,4518,0,-4287.964747099192
5,8009,236.954931,4819.397070,237,4820,0,-4582.442139092982
5,8513,244.488980,5122.822054,245,5123,0,-4878.333073928537
5,9001,251.574976,5416.615226,252,5417,0,-5165.040249573248
5,9511,258.778836,5723.653854,259,5724,0,-5464.875018135699
7,7,3.889358,3.234517,4,4,4.51689976689976724,0.654840453376
7,11,5.906916,5.547425,6,6,2.2881836945304439,0.359490886519
7,13,6.774030,6.716028,7,7,1.14288291060131142,0.058001738808
7,17,8.327913,9.066998,9,10,0.182354034863688369,-0.739084622810
7,19,9.036556,10.247301,10,11,0.061553813102393648,-1.210745038459
7,23,10.351291,12.614551,11,13,0.0054543109422735556,-2.263260107197
7,29,12.128246,16.177064,13,17,8.93680013326458015e-05,-4.048817954720
7,31,12.679695,17.366823,13,18,2.05528330468936017e-05,-4.687128305572
7,37,14.237184,20.941047,15,21,1.97759336728687375e-07,-6.703863003183
7,41,15.207635,23.327139,16,24,7.5944445876225403e-09,-8.119503982348
7,43,15.675510,24.520978,16,25,1.42735514598223552e-09,-8.845467954881
7,47,16.580441,26.910011,17,27,4.68199310697022113e-11,-10.329569230026
7,53,17.870085,30.496412,18,31,2.36413869256844127e-13,-12.626327049089
7,59,19.090253,34.085588,20,35,1.01079926142710037e-15,-14.995335084083
7,61,19.483389,35.282500,20,36,1.58814177853628864e-16,-15.799110729310
7,67,20.626495,38.874567,21,39,5.64843551124239681e-19,-18.248071825264
7,71,21.360973,41.270261,22,42,1.23228694824823684e-20,-19.909288151319
7,73,21.720632,42.468369,22,43,1.78756744489153604e-21,-20.747737563294
7,79,22.771671,46.063634,23,47,5.10549400485063174e-24,-23.291962229444
7,83,23.450818,48.461181,24,49,9.76421214783627454e-26,-25.010362793201
7,89,24.440235,52.058429,25,53,2.40882621985936387e-28,-27.618194530213
7,97,25.710060,56.856269,26,57,7.14153256594979868e-32,-31.146208579048
7,101,26.325755,59.255756,27,60,1.17489367520874731e-33,-32.930001434124
7,151,33.198255,89.271606,34,90,8.44596803970972036e-57,-56.073350566317
7,199,38.800607,118.110634,39,119,4.89748362581171657e-80,-79.310027007346
7,251,44.161820,149.367400,45,150,6.22902667210129464e-106,-105.205579809514
7,307,49.353968,183.039066,50,184,2.0649112424314683e-134,-133.685098611199
7,353,53.278209,210.703531,54,211,3.75558771193514713e-158,-157.425322090596
7,401,57.112724,239.574744,58,240,3.45128189984202091e-183,-182.462019566195
7,449,60.726886,268.449087,61,269,1.89582675594900111e-208,-207.722201351794
7,503,64.571774,300.935679,65,301,4.32609141517610718e-237,-236.363904307669
7,557,68.217774,333.424785,69,334,6.20852997858077552e-266,-265.207011217499
7,601,71.061255,359.898922,72,360,1.45322443266314948e-289,-288.837667309074
7,653,74.292187,391.188030,75,392,1.27103525675377422e-317,-316.895842371991
7,701,77.163452,420.071513,78,421,0,-342.908060686817
7,751,80.052764,450.159556,81,451,0,-370.106792731587
7,809,83.287609,485.062887,84,486,0,-401.775278175425
7,853,85.665730,511.542030,86,512,0,-425.876299666044
7,907,88.502834,544.039944,89,545,0,-455.537109358290
7,953,90.854320,571.723963,91,572,0,-480.869643231108
7,1009,93.642394,605.426927,94,606,0,-511.784532806379
7,1511,115.828522,907.573374,116,908,0,-791.744851330234
7,2003,134.220532,1203.725690,135,1204,0,-1069.505158289870
7,2503,150.725982,1504.707301,151,1505,0,-1353.981319024281
7,3001,165.602392,1804.493778,166,1805,0,-1638.891385668766
7,3511,179.611962,2111.510294,180,2112,0,-1931.898331347097
7,4001,192.146211,2406.491323,193,2407,0,-2214.345111870602
7,4507,204.311344,2711.107820,205,2712,0,-2506.796476104542
7,5003,215.592273,3009.706906,216,3010,0,-2794.114632475702
7,5503,226.413591,3310.716218,227,3311,0,-3084.302627152246
7,6007,236.836536,3614.135425,237,3615,0,-3377.298888652825
7,6521,247.026794,3923.576433,248,3924,0,-3676.549638727838
7,7001,256.187490,4212.549807,257,4213,0,-3956.362316834254
7,7507,265.511703,4517.177010,266,4518,0,-4251.665306184545
7,8009,274.457638,4819.397070,275,4820,0,-4544.939432112756
7,8513,283.162365,5122.822054,284,5123,0,-4839.659688269758
7,9001,291.349279,5416.615226,292,5417,0,-5125.265946866855
7,9511,299.672235,5723.653854,300,5724,0,-5423.981618707026
11,11,7.662151,5.547425,8,6,130.234443575000853,2.114725858858
11,13,8.753519,6.716028,9,7,109.016185989269843,2.037490983848
11,17,10.701755,9.066998,11,10,43.1278335682530027,1.634757642867
11,19,11.587748,10.247301,12,11,21.9001325060134349,1.340446742532
11,23,13.228305,12.614551,14,13,4.10917077809701947,0.613754191017
11,29,15.440372,16.177064,16,17,0.183361604150293206,-0.736691600244
11,31,16.125852,17.366823,17,18,0.057415486664945975,-1.240970949658
11,37,18.059797,20.941047,19,21,0.00131446994614683467,-2.881249339091
11,41,19.263456,23.327139,20,24,8.63610048487425236e-05,-4.063682313099
11,43,19.843440,24.520978,20,25,2.10117599632635897e-05,-4.677537569187
11,47,20.964659,26.910011,21,27,1.13409072237514124e-06,-5.945352202365
11,53,22.561416,30.496412,23,31,1.16145954929962934e-08,-7.934995910979
11,59,24.071083,34.085588,25,35,9.67152194130429221e-11,-10.014505178585
11,61,24.557295,35.282500,25,36,1.88276040717944605e-11,-10.725204943106
11,67,25.970529,38.874567,26,39,1.24727505234051096e-13,-12.904037764211
11,71,26.878203,41.270261,27,42,4.05454334529729564e-15,-14.392058052374
11,73,27.322574,42.468369,28,43,7.14833795472583227e-16,-15.145794923374
11,79,28.620824,46.063634,29,47,3.60736962718300015e-18,-17.442809355652
11,83,29.459452,48.461181,30,49,9.96025138844377754e-20,-19.001729700207
11,89,30.680870,52.058429,31,53,4.19218667590288509e-22,-21.377559386685
11,97,32.247908,56.856269,33,57,2.46398934772374893e-25,-24.608361174038
11,101,33.007507,59.255756,34,60,5.6461286667941964e-27,-26.248249229157
11,151,41.478945,89.271606,42,90,1.61190409456220191e-48,-47.792660801514
11,199,48.377112,118.110634,49,119,1.84704833818805656e-70,-69.733521738705
11,251,54.973788,149.367400,55,150,4.04006738410562157e-95,-94.393611391250
11,307,61.359146,183.039066,62,184,2.08968126908244584e-122,-121.679919950078
11,353,66.183472,210.703531,67,211,3.01954474905974974e-145,-144.520058529849
11,401,70.896266,239.574744,71,240,2.09662908206363831e-169,-168.678478394457
11,449,75.337264,268.449087,76,269,7.72996015216677426e-194,-193.111822744858
11,503,80.060866,300.935679,81,301,1.33409666146094084e-221,-220.874812702640
11,557,84.539354,333.424785,85,334,1.30187291143367435e-249,-248.885431409437
11,601,88.031615,359.898922,89,360,1.35735317126383875e-272,-271.867307138062
11,653,91.999275,391.188030,92,392,6.47508462549756479e-300,-299.188754551240
11,701,95.524880,420.071513,96,421,0,-324.546632478527
11,751,99.072316,450.159556,100,451,0,-351.087240315958
11,809,103.043627,485.062887,104,486,0,-382.019259508793
11,853,105.962939,511.542030,106,512,0,-405.579090494575
11,907,109.445448,544.039944,110,545,0,-434.594495521656
11,953,112.331682,571.723963,113,572,0,-459.392281172353
11,1009,115.753584,605.426927,116,606,0,-489.673342866643
11,1511,142.976811,907.573374,143,908,0,-764.596562549458
11,2003,165.537666,1203.725690,166,1204,0,-1038.188024315608
11,2503,185.780477,1504.707301,186,1505,0,-1318.926824142707
11,3001,204.022906,1804.493778,205,1805,0,-1600.470872139140
11,3511,221.200588,2111.510294,222,2112,0,-1890.309705669850
11,4001,236.568081,2406.491323,237,2407,0,-2169.923241957625
11,4507,251.482049,2711.107820,252,2712,0,-2459.625771321746
11,5003,265.311258,3009.706906,266,3010,0,-2744.395647978200
11,5503,278.576415,3310.716218,279,3311,0,-3032.139802564940
11,6007,291.352717,3614.135425,292,3615,0,-3322.782708259514
11,6521,303.843344,3923.576433,304,3924,0,-3619.733089049621
11,7001,315.071644,4212.549807,316,4213,0,-3897.478162390420
11,7507,326.500055,4517.177010,327,4518,0,-4190.676954857945
11,8009,337.464541,4819.397070,338,4820,0,-4481.932528489509
11,8513,348.133151,5122.822054,349,5123,0,-4774.688902711236
11,9001,358.166915,5416.615226,359,5417,0,-5058.448311078180
11,9511,368.367216,5723.653854,369,5724,0,-5355.286637532254
